Pattern String,Pattern Category,predicted_predicate
I do not want to protect my item,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, thanks, I´d rather pay more",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't like saving money",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't want a discount",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I'll pay full price!",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO THANKS, I DON'T WANT TO SAVE MONEY",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I Don't Like Exclusive Offers.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I'll just pay full price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO, I'D RATHER PAY FULL PRICE",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, thank you. I prefer to pay the full price",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
No I don't feel lucky,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I'd rather not save,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I’d rather pay full price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don’t like fun and games.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"no thanks, I hate fun & games",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't want 15% off",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I'd rather do it the hard way...",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I Don't Like Saving Money.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO THANKS, I DON’T MIND MISSING OUT",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I'LL PAY FULL PRICE,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
"No, I don't want great deals.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't like free stuff",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I want to pay the full price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO, I'LL PAY FULL PRICE",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, thanks. I'd rather pay full price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"no thanks, I don't like to save",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thank you, I prefer to pay for shipping.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"Nah, I'll pay full price",Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
No thanks I definitely measured correctly,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
No thanks. I don’t want to save money.,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
No thanks. I love chaos!,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I’d rather not win.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I prefer to pay more for shoes!",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I'll pay full price",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I'll still want to pay full price",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't want any deals",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't like promotions and exclusive content.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO THANKS, I'D RATHER PAY FULL PRICE",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I Prefer Paying Full Price",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I Don't Want To Save",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I'd Rather Pay Full Price",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, thanks. I'd prefer not to save.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I don't want official software at the best price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't want to look my best",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"Nah, I like paying full price",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
No thanks - I don't want to save money,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"I DON'T LIKE FREE GIFTS, NO THANKS",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't want 15% off",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I'LL PAY FULL PRICE,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
I'll Shop Without A Discount,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
I'd rather pay full price,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don’t like saving money.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I'LL PAY FULL PRICE,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
"No Thanks, I Don't Want a Discount",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO THANKS, I DON’T WANT 15% OFF",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don’t want to save",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I Don't Want a Free Gift",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I want to pay full price",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I've got too much cool Glock stuff!",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
No I don't feel lucky,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I'm not interested",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thank you, I prefer to pay full price",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO, I'LL PAY FULL PRICE",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't like deals.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO THANKS, I'll PAY FULL PRICE",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I hate cool stuff",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
No thanks. I'd rather pay full price.,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I'd rather pay full price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I’d rather pay more",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I don't like exclusive deals.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't want the free gift.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I'LL PAY FULL PRICE,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
"No thanks, I'd rather pay full price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't like discounts",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
No I don't feel lucky,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO THANKS, I DON'T WANT TO SAVE MONEY",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO, THANKS. I DON'T LIKE DISCOUNTS ",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO THANKS, I DON'T WANT TO SAVE",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I don't like free stuff.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't like winning",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I will pay full price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I don't feel lucky,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
"No Thanks, I Prefer Paying Full Price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"Yes, I Want To Save Money!No Thanks",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I'D RATHER PAY FULL PRICE,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
No thanks. I prefer paying full price.,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, thanks. I'd rather pay full price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I'd rather pay more",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, free stuff isn't for me.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I'll Pay Full Price",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
No thanks. I don’t want deals.,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I prefer not to have a protection plan",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO THANKS, I DON'T WANT 20% OFF MY ORDER",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't want a free gift.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks! I'd rather join the """"Pay Full Price for Things"""" club.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I don't want a discount,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
No thanks. I don't like free things...,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"no thanks, I'll save money another day",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't want discount",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't like exclusive offers",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I don't want a discount",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I'd rather pay full price",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I like full price",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I'LL PAY FULL PRICE,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
"No thanks, I'm not interested in saving money.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I'll let this offer sail away",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I Don't Like to Save Money,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I like paying full price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I Prefer Paying Full Price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
No thanks. I'd rather pay full price.,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I prefer paying full price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"[NO THANKS, I'LL JUST WALK]",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I'LL PAY FULL PRICE,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
"No Thanks, I Don't Want a Discount",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
No I don't feel lucky,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO THANKS, I'D RATHER PAY FULL PRICE",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't like to save",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I like paying full price",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I'll be the last to know.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I Don't Like Discounts",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO THANKS, I DON'T LIKE FREE STUFF",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't like winning.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I don't want to save money,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't like savings",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO THANKS, I'D RATHER PAY FULL PRICE",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't want to save up to 75%",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
How about one of these hot sellers?,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
LIMITED TIME OFFER : Grab a Matching Pair & save up 60%!,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
FOR THE ULTIMATE EXPERIENCE: (Can select more than one),Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
"PROTECT YOUR SOFA! Your Humblebum Sofa in Thatch house fabric will look wicked! Why not add Castelan Fabric Protection to cover your new squish machine against wine spillages, messy TV dinners, and other disasters for just just £80?",Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Customer also shopped for,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
*** Get 50% Off Your 2nd Case OR a Canopy Screen Protector *** A 50% OFF discount will be automatically applied to the lowest priced item in your cart when you check out with more than one item! (excludes Clearance items) Click to Choose Another Item,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
How about these?,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
Don't forget the essentials Get up to 2 years of accidental damage coverage with AppleCare+.,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Yes! Upgrade my purchase,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
ADD WORLD'S MOST COMFORTABLE CHAIRS,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
People also buy this with,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
Add to Your Gift and We'll Ship it For Free!,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
"No thanks, I just want the item",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
Personalize your doll,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
"Nice choice. Did you know you’re missing out on these deals with the item in your cart. Suit + Shirt + Tie now $599.99* - Shop Suits, Shirts and Ties Or Get 2 Suit Packages for $1100*",Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Add and save!,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
"Before you check out, can we tempt you?",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
Necessary Protection..,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Would you like to buy more and save more?,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
FANSTASTIC DEALS,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Add on something to make it extra special!,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
ADD FOR BETTER RESULTS,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
"""Your purchase entitles you to the following special""",Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Limited-time Offer: Bundle a base and get 20% off,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Lenscap: Damage Only,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
Professional Color Tool Kit / Addons,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Want a special deal? Bundle and SAVE UPTO30%,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
Protect Your Gear,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Grab yourself a bargain!,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Other Items On Special Offer:,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Want to add one of these?,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
NO THANKS,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
GlassGuard Warranty Do not fear breaking your glass! Add our GlassGuard warranty policy for just $3.85 and we'll insure this purchase.,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Customers also bought,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
OUR BEST SELLING GOGGLE,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
Let's make sure you have everything else you need,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
Would you like to purchase an Extended Protection Plan?,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
Score! You've Qualified for a Checkout Bonus,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Subscribe & Save (15%): $ 16.99,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
With 1-year Care Subscription 10 days history,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
Subscribe & Save,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
"You choose: just one box, or a  Madison Reed Membership?",Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
Did you know that Shaver heads need replacing every 12 - 18 months? Get the Shaver Guard cleaning spray to extend its life for up to another 6 months!,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
"We'd like to send you weekly emails packed full of our lovely products, clearance goodies and cool stuff to win. You can unsubscribe at any time. If you DON'T want to receive these emails, please tick this box. We'd like to send you the occasional brochure so you can get a regular fix of our lovely product! You can unsubscribe at any time. If you DON'T want to receive these brochures, please tick this box. We'd like to introduce you to other brands you might love who will post you the occasional brochure. You can opt out of this at any time. If you DON'T want to receive these brochures, please tick this box.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
Uncheck the box if you prefer not to receive email updates.,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
LOGIN/REGISTER,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Want Free Shipping?,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
"We'd like to keep you informed via email about product updates, upgrades, special offers and pricing. If you do not wish to be contacted via email, please ensure that the box is not checked.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
Tick here if you do not want to receive Promotional Offers by Post Tick here if you do wish to receive Promotional Offers by email and/or SMS Tick here if you would like to receive Offers from selected third parties,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
"""We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I already have this item. Do not add this to cart,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
"If you click continue below we will be happy to tell you about discounts, money off and new products from Very by e-mail and text,
unless you tell us you DO NOT want to hear about them, by ticking here.
If you would like to receive offers from carefully selected 3rd parties, please tick here",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
Congratulations! You qualify to receive Rechargeable 10-Function Bullet Vibe for FREE!,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
I wish to Start Shopping but I don't want to receive daily email alerts about your amazing discounts on luxury brands.,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
Compare at,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
Spin to unlock your mystery offer,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Order without free membership $69.95,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
"THE COMPETITION $1,299.99",Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
No I'd rather not hear about exclusive offers and discounts.,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
Compare at,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
Competitor Price: $172.00,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
TWO FREE PILLOWS AND 30% OFF WITH PROMO CODE,Misdirection,"disguise_ad_as_content(ui_element, ad_content)"
Compare at,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
$132.90 $99.00,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
This offer is only VALID if you add to cart now!,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
Save $148.98AUD – 49% Off,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
