Pattern String,Pattern Category,predicted_predicate
Hayden near Princeton just bought!!!: CBD VEGAN GUMMIES,Social Proof,"generate_fake_endorsement(endorsement, location)"
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",Social Proof,"generate_fake_endorsement(endorsement, location)"
"Bobby in Decatur, United States just purchased",Social Proof,"display_activity_message_overlay(message, item)"
"Jessica in Orange, United States purchased a Black 1920s Sequin Maxi Flapper Dress 12 minutes ago",Social Proof,"display_activity_message_overlay(message, item)"
"2,221 people have purchased this item",Social Proof,"display_activity_message_overlay(message, item)"
"19,302 people have added this item to cart",Social Proof,"display_activity_message_overlay(message, item)"
"25,439 people have viewed this item",Social Proof,"display_activity_message_overlay(message, item)"
Popular item! 🔥 27 people recently purchased this.,Social Proof,"display_activity_message_overlay(message, item)"
"BERNARD in Philadelphia, United States purchased a",Social Proof,"generate_fake_endorsement(endorsement, location)"
Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired),Social Proof,"display_activity_message_overlay(message, item)"
16 recently purchased it.,Social Proof,"generate_fake_endorsement(endorsement, location)"
🔥 9 people are viewing this.,Social Proof,"display_activity_message_overlay(message, item)"
3 people are looking at this product,Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Sasebo, Japan just bought",Social Proof,"display_activity_message_overlay(message, item)"
More than 752 users are adding shapewear to their cart. Is your size left?,Social Proof,"display_activity_message_overlay(message, item)"
17 people have added this item to cart,Social Proof,"display_activity_message_overlay(message, item)"
4 people have purchased this item,Social Proof,"display_activity_message_overlay(message, item)"
161 people have viewed this item,Social Proof,"display_activity_message_overlay(message, item)"
Someone in Egypt bought,Social Proof,"display_activity_message_overlay(message, item)"
"JOHN in Toowoomba City, Australia purchased a Resin Tank 7 hours ago",Social Proof,"display_activity_message_overlay(message, item)"
"1,142 people have added to cart recently",Social Proof,"display_activity_message_overlay(message, item)"
"6,743 people have viewed recently",Social Proof,"display_activity_message_overlay(message, item)"
"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",Social Proof,"display_activity_message_overlay(message, item)"
"Tristan in Markham, Canada purchased a Dragon Baseball Jersey",Social Proof,"display_activity_message_overlay(message, item)"
Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,Social Proof,"display_activity_message_overlay(message, item)"
105 pawrents are buying for their furkids now!,Social Proof,"display_activity_message_overlay(message, item)"
339 users are currently active on our website,Social Proof,"display_activity_message_overlay(message, item)"
"William in Pago Pago, United States purchased a",Social Proof,"display_activity_message_overlay(message, item)"
"Oscar from Cajamarca, Peru purchased",Social Proof,"display_activity_message_overlay(message, item)"
"Debby in Harpers Ferry, United States just bought: Icing Pen Decorating Tool",Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Tornado, United States just bought Fresh Melon Menthol 2 hours ago",Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",Social Proof,"display_activity_message_overlay(message, item)"
"Someone from Huntingtown, Maryland, United States purchased TopCoat® F11® Polish & Sealer - Web Special Kits Just Now",Social Proof,"generate_fake_endorsement(endorsement, location)"
"Ken in Three Bridges, United States purchased All Zebrawood + Olive Ash",Social Proof,"display_activity_message_overlay(message, item)"
"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Alexandria, United States just bought TTDeye Queen Green Colored Contact Lenses",Social Proof,"display_activity_message_overlay(message, item)"
"Jeremy in Warroad, United States purchased a",Social Proof,"display_activity_message_overlay(message, item)"
1 person is looking at this item.,Social Proof,"display_activity_message_overlay(message, item)"
Get it fast! 14 added to bag today,Social Proof,"display_activity_message_overlay(message, item)"
"Samuel in Minneapolis, United States purchased a Pod Juice Jewel Mint Cool ❄️Nicotine Salt e-Liquid 15/30ml 7 hours ago",Social Proof,"display_activity_message_overlay(message, item)"
Someone in Canberra purchased\nADV.2 (Austracantha) about 41 minutes ago,Social Proof,"display_activity_message_overlay(message, item)"
30 people have purchased this item,Social Proof,"display_activity_message_overlay(message, item)"
Purchased 6 times this week.,Social Proof,"display_activity_message_overlay(message, item)"
17 people have viewed this wine today,Social Proof,"display_activity_message_overlay(message, item)"
24 people have purchased this wine today,Social Proof,"display_activity_message_overlay(message, item)"
"Jonathan in Syracuse, United States just bought Electric Skateboard Battery Pack 36V 10S2P 4 hours ago",Social Proof,"display_activity_message_overlay(message, item)"
8 customers have bought today,Social Proof,"display_activity_message_overlay(message, item)"
80 Customers are considering this product right now.,Social Proof,"display_activity_message_overlay(message, item)"
24 sold in last 24 hours.,Social Proof,"display_activity_message_overlay(message, item)"
21 people looked at this during the last 24 hours,Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Byron Bay, NSW just bought",Social Proof,"display_activity_message_overlay(message, item)"
Someone in Faizabad just bought: Pretty Love Penis Sleeve 7 inch an hour 2 minutes ago,Social Proof,"display_activity_message_overlay(message, item)"
Bought by 39 people in last few hours! HOT SELLER!,Social Proof,"display_activity_message_overlay(message, item)"
23 People viewing this product,Social Proof,"display_activity_message_overlay(message, item)"
Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,Social Proof,"display_activity_message_overlay(message, item)"
1 other customers have this item in their shopping cart,Social Proof,"display_activity_message_overlay(message, item)"
8 people are looking at this artwork,Social Proof,"display_activity_message_overlay(message, item)"
104 people viewed this product recently!,Social Proof,"display_activity_message_overlay(message, item)"
5 people are looking at this product right now,Social Proof,"display_activity_message_overlay(message, item)"
19 people viewed this product per day,Social Proof,"display_activity_message_overlay(message, item)"
6 other people looking at this item,Social Proof,"display_activity_message_overlay(message, item)"
"Edwin in Woodland Park, NJ just bought",Social Proof,"generate_fake_endorsement(endorsement, location)"
65% of our customers added Surefit protection this year.,Social Proof,"display_activity_message_overlay(message, item)"
3 PEOPLE VIEWING,Social Proof,"display_activity_message_overlay(message, item)"
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",Social Proof,"display_activity_message_overlay(message, item)"
24 people currently interested,Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Culgoa, Australia purchased Savelli Epic Mens Comfortable Leather Lace Up Boots Made In Brazil",Social Proof,"generate_fake_endorsement(endorsement, location)"
3 people are looking at this item right now,Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",Social Proof,"display_activity_message_overlay(message, item)"
DON'T LET 'EM GET AWAY Several people have recently viewed this item.,Social Proof,"display_activity_message_overlay(message, item)"
7 users have looked at this product in the past 6 minutes,Social Proof,"display_activity_message_overlay(message, item)"
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",Social Proof,"display_activity_message_overlay(message, item)"
12 recently purchased it.,Social Proof,"generate_fake_endorsement(endorsement, location)"
2 people are viewing this,Social Proof,"display_activity_message_overlay(message, item)"
Someone from Airdrie & 10820 others bought this item recently.,Social Proof,"display_activity_message_overlay(message, item)"
Someone in Yanchep bought a 52mm Mechanical 'Performance' Boost Gauge - Blue/White 9 seconds ago,Social Proof,"display_activity_message_overlay(message, item)"
THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,Social Proof,"display_activity_message_overlay(message, item)"
89 currently viewing,Social Proof,"display_activity_message_overlay(message, item)"
"Our most recent customers are from New Rochelle, Roseville, and Brooksville",Social Proof,"generate_fake_endorsement(endorsement, location)"
HOT PRODUCT Over 250 people are looking at this item.,Social Proof,"display_activity_message_overlay(message, item)"
Other people want this. 10 people have this in their cart right now.,Social Proof,"display_activity_message_overlay(message, item)"
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Social Proof,"display_activity_message_overlay(message, item)"
143 BOUGHT,Social Proof,"display_activity_message_overlay(message, item)"
"JULIE in Oak Brook, United States purchased a Watercolor Brush Pens 24 Refillable Colors with Travel Case about 10 hours ago",Social Proof,"display_activity_message_overlay(message, item)"
5338 people bought this,Social Proof,"display_activity_message_overlay(message, item)"
"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",Social Proof,"display_activity_message_overlay(message, item)"
"Mher from San Angelo, TX Recently made a purchase with Crossrope",Social Proof,"display_activity_message_overlay(message, item)"
"Son in Suisun City, United States purchased Commander Lex",Social Proof,"display_activity_message_overlay(message, item)"
31 have it in their cart,Social Proof,"display_activity_message_overlay(message, item)"
69 people are viewing this,Social Proof,"display_activity_message_overlay(message, item)"
"Rick in Columbia, United States purchased a",Social Proof,"generate_fake_endorsement(endorsement, location)"
"Someone in DOVER, United States just bought Crew 15 mins ago",Social Proof,"display_activity_message_overlay(message, item)"
James from Colonia purchased a,Social Proof,"display_activity_message_overlay(message, item)"
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,Social Proof,"display_activity_message_overlay(message, item)"
146 people recently purchased this.,Social Proof,"display_activity_message_overlay(message, item)"
"estiven in Deer Park, United States purchased PreWash™ 4 oz",Social Proof,"generate_fake_endorsement(endorsement, location)"
9 people are currently viewing this product,Social Proof,"display_activity_message_overlay(message, item)"
"Michael M. from Lacey, WA just bought a Cal King",Social Proof,"display_activity_message_overlay(message, item)"
1 people bought Jotter To Do Refill in the last few hours,Social Proof,"display_activity_message_overlay(message, item)"
308 viewed per day,Social Proof,"display_activity_message_overlay(message, item)"
7 sold in last 24 hours,Social Proof,"display_activity_message_overlay(message, item)"
2 viewed per hour,Social Proof,"display_activity_message_overlay(message, item)"
"Jeremy in Stockton, United States purchased a",Social Proof,"display_activity_message_overlay(message, item)"
57 PEOPLE HAVE LOOKED AT THIS TODAY,Social Proof,"display_activity_message_overlay(message, item)"
This is in 5 other carts.,Social Proof,"display_activity_message_overlay(message, item)"
Purchased 8 times in the last few days.,Social Proof,"display_activity_message_overlay(message, item)"
6 people have looked at this in the last few hrs.,Social Proof,"display_activity_message_overlay(message, item)"
"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",Social Proof,"generate_fake_endorsement(endorsement, location)"
Someone in Bacchus Marsh bought a Noosa Basics Deodorant Stick - Sensitive (60g) 27 seconds ago,Social Proof,"display_activity_message_overlay(message, item)"
"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",Social Proof,"display_activity_message_overlay(message, item)"
"mark in richmond hill, United States purchased a Fugoo Tough 11 minutes ago",Social Proof,"display_activity_message_overlay(message, item)"
93 PEOPLE HAVE BOUGHT THIS PRODUCT TODAY,Social Proof,"display_activity_message_overlay(message, item)"
7 sold in the last 48 hours,Social Proof,"display_activity_message_overlay(message, item)"
210+ bought,Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Chambersburg, Pennsylvania purchased",Social Proof,"generate_fake_endorsement(endorsement, location)"
99 people are looking at this right now,Social Proof,"display_activity_message_overlay(message, item)"
11 people viewed this today!,Social Proof,"display_activity_message_overlay(message, item)"
Last purchase was 18 minutes ago by someone from Dublin,Social Proof,"display_activity_message_overlay(message, item)"
Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,Social Proof,"generate_fake_endorsement(endorsement, location)"
Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,Social Proof,"display_activity_message_overlay(message, item)"
Viewed 1040 times in the last 7 days,Social Proof,"display_activity_message_overlay(message, item)"
Hurry up! 6 people other than you have this product in their cart,Social Proof,"display_activity_message_overlay(message, item)"
Hurry up! 22 people other than you have this product in their cart,Social Proof,"display_activity_message_overlay(message, item)"
Someone in Louisville Kentucky United States Purchased Gold Presidential Bracelet With Watch Buckle 9 hours ago,Social Proof,"display_activity_message_overlay(message, item)"
8 people have viewed this product today!,Social Proof,"display_activity_message_overlay(message, item)"
Don't miss out! We've sold 38 in the last few days.,Social Proof,"display_activity_message_overlay(message, item)"
52 people are looking at this right now.,Social Proof,"display_activity_message_overlay(message, item)"
#6 Bestseller in Rugs This item was viewed 92 times in the last day.,Social Proof,"display_activity_message_overlay(message, item)"
Over 38 bought,Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Flemington, United States purchased Anti-Aging Eyelid Tape (Contains 100 Strips) Just now",Social Proof,"display_activity_message_overlay(message, item)"
OH SO POPULAR! 21 bought in the last 7 days.,Social Proof,"display_activity_message_overlay(message, item)"
6 people have looked at this in the last few hrs.,Social Proof,"display_activity_message_overlay(message, item)"
"Ida in Tangerang Selatan, Indonesia purchased Iseya VG10 G-Series 33 layer Damascus Japanese Chef's Santoku Knife , 180mm about 1 hour ago",Social Proof,"generate_fake_endorsement(endorsement, location)"
156 sold in last 24 hours,Social Proof,"display_activity_message_overlay(message, item)"
RECENTLY VIEWED 2 others viewed this in the last few hours,Social Proof,"display_activity_message_overlay(message, item)"
40 users are currently active on our website just now.,Social Proof,"display_activity_message_overlay(message, item)"
45 ADDED TO BAG IN THE PAST 24 HOURS,Social Proof,"display_activity_message_overlay(message, item)"
7 people looked at this product in the last 24 hours.,Social Proof,"display_activity_message_overlay(message, item)"
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,Social Proof,"display_activity_message_overlay(message, item)"
🔥👁️ 1 person is viewing this.,Social Proof,"display_activity_message_overlay(message, item)"
"Awhi from Hicks Bay, Gisborne, New Zealand just bought",Social Proof,"display_activity_message_overlay(message, item)"
251 people are viewing this right now,Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Cedarhurst, United States purchased a Sproet and Sprout Shell/Violet Stripe Bloomers",Social Proof,"display_activity_message_overlay(message, item)"
Someone in Castle Hill bought a Philips Essential LED Downlight Kit | 5W 4000K few hours ago.,Social Proof,"generate_fake_endorsement(endorsement, location)"
"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",Social Proof,"generate_fake_endorsement(endorsement, location)"
127 People viewed this product this week,Social Proof,"display_activity_message_overlay(message, item)"
2 people have looked at this in the last couple of hrs.,Social Proof,"display_activity_message_overlay(message, item)"
Someone in United States just purchased a,Social Proof,"display_activity_message_overlay(message, item)"
Trending now! Added to basket 490 times today,Social Proof,"display_activity_message_overlay(message, item)"
Trending now! Added to basket 38 times today,Social Proof,"display_activity_message_overlay(message, item)"
"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",Social Proof,"display_activity_message_overlay(message, item)"
IN 43 PEOPLE'S SHOPPING BAG,Social Proof,"display_activity_message_overlay(message, item)"
MOST POPULAR,Social Proof,"generate_fake_endorsement(endorsement, location)"
660 people have viewed today,Social Proof,"display_activity_message_overlay(message, item)"
113 people have viewed in the last 24hrs,Social Proof,"display_activity_message_overlay(message, item)"
407 customers have viewed this item recently,Social Proof,"display_activity_message_overlay(message, item)"
Fast Mover: 35 PEOPLE added this to cart today!,Social Proof,"display_activity_message_overlay(message, item)"
"Someone from Portland, United States (US) purchased MODALERT recently.",Social Proof,"display_activity_message_overlay(message, item)"
22 people have looked at this part recently,Social Proof,"display_activity_message_overlay(message, item)"
"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",Social Proof,"display_activity_message_overlay(message, item)"
Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,Social Proof,"display_activity_message_overlay(message, item)"
This product was viewed 26 seconds ago by someone from Princeton,Social Proof,"display_activity_message_overlay(message, item)"
"Laurie in Urraween, Queensland bought No Brainer USB Charging Anti-Theft Backpack",Social Proof,"generate_fake_endorsement(endorsement, location)"
"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack",Social Proof,"generate_fake_endorsement(endorsement, location)"
8 people have this in their bag right now.,Social Proof,"display_activity_message_overlay(message, item)"
Purchased 100+ times in the last few days.,Social Proof,"display_activity_message_overlay(message, item)"
Someone in Pittsworth bought a Ultimate COLT Anal Training Kit 2 hours ago,Social Proof,"display_activity_message_overlay(message, item)"
"Carl F. from Fort Ann, NY bought a King",Social Proof,"display_activity_message_overlay(message, item)"
1 people are viewing this currently,Social Proof,"display_activity_message_overlay(message, item)"
92 customers bought this in the last 48 hours,Social Proof,"display_activity_message_overlay(message, item)"
62 people have looked at this item in the last few hours.,Social Proof,"display_activity_message_overlay(message, item)"
13 people have added this to their cart,Social Proof,"display_activity_message_overlay(message, item)"
"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Vancouver, Washington purchased a Orthofeet Men's Orthotic Insoles about 38 minutes",Social Proof,"display_activity_message_overlay(message, item)"
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Social Proof,"display_activity_message_overlay(message, item)"
135 people have this in their cart,Social Proof,"display_activity_message_overlay(message, item)"
Add to Wish List(13 People Have Added),Social Proof,"generate_fake_endorsement(endorsement, location)"
77 PEOPLE LIKE THIS,Social Proof,"generate_fake_endorsement(endorsement, location)"
43 added to bag in the last 48hrs,Social Proof,"display_activity_message_overlay(message, item)"
"Shopper from Saint John, NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",Social Proof,"display_activity_message_overlay(message, item)"
Over 200 views in 24 hrs,Social Proof,"display_activity_message_overlay(message, item)"
227 Bought Already,Social Proof,"display_activity_message_overlay(message, item)"
POPULAR 62 others checked this out in the last few hours.,Social Proof,"display_activity_message_overlay(message, item)"
POPULAR 64 others checked this out in the last few hours.,Social Proof,"display_activity_message_overlay(message, item)"
"Israël in Metz, France purchased a More ADVANCED Chord Substitutions",Social Proof,"generate_fake_endorsement(endorsement, location)"
"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",Social Proof,"display_activity_message_overlay(message, item)"
Viewed 744 times today,Social Proof,"display_activity_message_overlay(message, item)"
"2,229 people have viewed this item",Social Proof,"display_activity_message_overlay(message, item)"
715 people have added this item to cart,Social Proof,"display_activity_message_overlay(message, item)"
71 people have purchased this item,Social Proof,"display_activity_message_overlay(message, item)"
12 customers viewed this product today!,Social Proof,"display_activity_message_overlay(message, item)"
"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",Social Proof,"generate_fake_endorsement(endorsement, location)"
"Armin Dinovic bought 10M Runescape 3 Gold Order total: 3,70€ About 10 seconds ago",Social Proof,"display_activity_message_overlay(message, item)"
"Trey in Columbia, United States purchased Leather Cord Capsule",Social Proof,"display_activity_message_overlay(message, item)"
"Abbie in Calwell, Australia purchased Shark Bite Socks about 1 hour ago",Social Proof,"display_activity_message_overlay(message, item)"
6 customers have this in their basket,Social Proof,"display_activity_message_overlay(message, item)"
7 customers have this in their basket,Social Proof,"display_activity_message_overlay(message, item)"
6 customers have this in their basket,Social Proof,"display_activity_message_overlay(message, item)"
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Social Proof,"display_activity_message_overlay(message, item)"
Selling fast! Add to bag 7 times in the last 48 hours.,Social Proof,"display_activity_message_overlay(message, item)"
228 People Have Viewed This Product Recently!,Social Proof,"display_activity_message_overlay(message, item)"
"Sandeep in Hawthorne, California bought Sadie Ponte Pants - Black Just Now",Social Proof,"display_activity_message_overlay(message, item)"
jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,Social Proof,"display_activity_message_overlay(message, item)"
3 other people are currently viewing this item.,Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Petaling Jaya, Malaysia just bought SNEAKERGUARD Midsole Paint Marker - BOOST White",Social Proof,"display_activity_message_overlay(message, item)"
"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",Social Proof,"display_activity_message_overlay(message, item)"
"Michael in Pontiac, United States purchased a  ",Social Proof,"display_activity_message_overlay(message, item)"
Other 2 customers have it in their cart.,Social Proof,"display_activity_message_overlay(message, item)"
"Trey in Sparta, United States purchased Stealth Angel Ultra Lightweight & Portable Sleeping Bag about 45 minutes ago",Social Proof,"display_activity_message_overlay(message, item)"
